"Statistics","Machine learning","Deep learning","R Language","Python Language","NLP","Data Science"
"Statistical models","linear regression","neural network","r","python","nlp","aws"
"Statistical modelling","logistic regression","keras","ggplot","flask","natural language processing","ec2"
"probablity","K means","theano","cran","django","topic modelling","amazon redshift"
"normal distribution","random forest","face detection","knitr","pandas","lda","s3"
"poisson distribution","svm","convolutional neural networks(cnn)","dplyr","numpy","named entity recognition","docker"
"survival models","xgboost","recurrent neural networks(rnn)","tidyr","sklearn","pos tagging","kubernetes"
"hypothesis testing","naive bayes","object detection","lubridate","matplotlib","word2vec","scala"
"bayesian inference","pca","yolo","shiny","scipy","word embedding","teradata"
"factor analysis","decision trees","gpu","","bokeh","lsi","google big query"
"forecasting","svd","cuda","","scikitlearn","spacy","aws lambda"
"markov chain","boltzman machine","tensorflow","","statsmodel","gensim","hive"
"monte carlo","ensemble models","opencv","","","nltk","hadoop"
"","","gan","","","nmf",""
"","","lstm","","","doc2vec",""
"","","","","","cbow",""
"","","","","","bag of words",""
"","","","","","skip gram",""
"","","","","","bert",""
"","","","","","sentiment analysis",""
"","","","","","chat bot",""
